Tipo de Reporte;Matricula;Aeródromo;Data;Hora ;Fase do Voo;Efeito no voo
QUASE COLISÃO;2734;SBMN;29/02/2020;09:00;Aproximação;outros
AVISTAMENTO;;SBSP;29/02/2020;00:00;Revisão de pista;Nenhum
COLISÃO;PRMYK;SBBR;29/02/2020;07:23;Pouso;Não reportada
AVISTAMENTO;;SBSP;29/02/2020;09:00;Revisão de pista;Nenhum
AVISTAMENTO;;SBPS;29/02/2020;06:50;Revisão de pista;Não reportada,outros
AVISTAMENTO;;SBPS;29/02/2020;06:50;Revisão de pista;outros
QUASE COLISÃO;7105;SBSL;29/02/2020;14:20;Aproximação;Desestabilização na aproximação
COLISÃO;;SBSV;29/02/2020;06:50;Revisão de pista;Não reportada
AVISTAMENTO;PPHPA;SBBP;29/02/2020;09:30;Subida;Nenhum
AVISTAMENTO;PRPRE;SBSP;29/02/2020;14:16;Decolagem;Nenhum
QUASE COLISÃO;PPGXN;SBBP;29/02/2020;14:30;Subida;Nenhum
AVISTAMENTO;;SBGL;29/02/2020;06:00;Revisão de pista;Nenhum
AVISTAMENTO;;SBGL;29/02/2020;14:30;Pouso;Nenhum
AVISTAMENTO;;SBGL;29/02/2020;14:30;Pouso;Nenhum
AVISTAMENTO;;SBGL;29/02/2020;07:30;Decolagem;Nenhum
AVISTAMENTO;PRMYV;SBBR;29/02/2020;07:25;Pouso;Nenhum
COLISÃO;PRAXF;SBKP;29/02/2020;10:07;Subida;Nenhum
AVISTAMENTO;;SBBE;29/02/2020;10:15;Revisão de pista;Nenhum
COLISÃO;PRYYC;SBFZ;29/02/2020;09:00;Decolagem;Nenhum
AVISTAMENTO;MAR;SBES;29/02/2020;12:00;Decolagem;Nenhum
AVISTAMENTO;FAB2342;SBSC;29/02/2020;22:00;Revisão de pista;outros
AVISTAMENTO;;SBSP;28/02/2020;00:00;Revisão de pista;Nenhum
COLISÃO;PPVYV;SBJH;28/02/2020;17:14;Descida;Nenhum
QUASE COLISÃO;8907;SBCG;28/02/2020;15:00;Pouso;Nenhum
COLISÃO;PRGEA;SBCX;28/02/2020;18:20;Pouso;Não reportada
AVISTAMENTO;;SBSP;28/02/2020;09:37;Revisão de pista;Nenhum
AVISTAMENTO;;SBPS;28/02/2020;06:50;Revisão de pista;Não reportada
QUASE COLISÃO;4001;SBES;28/02/2020;08:50;Aproximação;Desestabilização na aproximação
AVISTAMENTO;;SBPS;28/02/2020;06:50;Revisão de pista;Nenhum
AVISTAMENTO;3599;SBCY;28/02/2020;05:20;Decolagem;Nenhum
AVISTAMENTO;;SBSP;28/02/2020;09:37;Revisão de pista;Nenhum
QUASE COLISÃO;PRDNA;SBSL;28/02/2020;15:41;Decolagem;outros
COLISÃO;FAB2723;SBSL;28/02/2020;15:11;Pouso;outros
QUASE COLISÃO;;SBBV;28/02/2020;08:00;NBA;Nenhum
QUASE COLISÃO;;SBBV;28/02/2020;08:00;NBA;Nenhum
QUASE COLISÃO;;SBBV;28/02/2020;08:00;NBA;Nenhum
COLISÃO;PRAQT;SBAU;28/02/2020;20:00;Decolagem;Nenhum
AVISTAMENTO;;SBGL;28/02/2020;07:00;Revisão de pista;Nenhum
AVISTAMENTO;;SBGL;28/02/2020;06:00;Pouso;Nenhum
AVISTAMENTO;;SBGL;28/02/2020;14:32;Decolagem;Nenhum
AVISTAMENTO;FAB5704;SBPV;28/02/2020;14:35;Aproximação;Nenhum
AVISTAMENTO;PRMHX;SBMA;28/02/2020;08:17;Táxi;Nenhum
QUASE COLISÃO;FAB2723;SBSL;28/02/2020;14:00;Aproximação;outros
AVISTAMENTO;HARPIA08;SBMN;28/02/2020;15:10;Táxi;outros
COLISÃO;8915;SBCZ;28/02/2020;09:55;Subida;Nenhum
COLISÃO;PRAXP;SBKP;28/02/2020;09:59;Decolagem;Nenhum
COLISÃO;;SBSG;28/02/2020;16:40;Revisão de pista;Não reportada
QUASE COLISÃO;4001;SBES;28/02/2020;08:50;Aproximação;Desestabilização na aproximação
COLISÃO;PRAKB;SBCY;27/02/2020;18:00;Decolagem;Não reportada
AVISTAMENTO;;SBGL;27/02/2020;06:00;Pouso;Nenhum
AVISTAMENTO;;SBSP;27/02/2020;17:00;Revisão de pista;Nenhum
AVISTAMENTO;;SBSP;27/02/2020;09:32;Revisão de pista;Nenhum
COLISÃO;PRYRX;SBGR;27/02/2020;19:24;Decolagem;Nenhum
COLISÃO;PRGGD;SBEG;27/02/2020;00:20;Descida;Nenhum
QUASE COLISÃO;;SBBV;27/02/2020;16:40;NBA;Não reportada
QUASE COLISÃO;;SBBV;27/02/2020;16:40;NBA;Não reportada
COLISÃO;PRGEH;SBNF;27/02/2020;00:31;Pouso;Nenhum
AVISTAMENTO;;SBBH;27/02/2020;10:35;Aproximação;Não reportada
AVISTAMENTO;FAB2323;SBNT;27/02/2020;06:40;Decolagem;Nenhum
AVISTAMENTO;FAB2323;SNXX;27/02/2020;07:00;Táxi;Nenhum
AVISTAMENTO;;SBJD;27/02/2020;13:00;NBA;Nenhum
AVISTAMENTO;;SBSP;27/02/2020;09:32;Revisão de pista;Nenhum
QUASE COLISÃO;;SBBV;27/02/2020;15:30;NBA;Não reportada
COLISÃO;PRYRU;SBGO;27/02/2020;20:30;Aproximação;Não reportada
QUASE COLISÃO;;SBBV;27/02/2020;15:00;Aproximação;Desestabilização na aproximação
AVISTAMENTO;;SBGL;27/02/2020;14:20;Decolagem;Nenhum
AVISTAMENTO;;SBGL;27/02/2020;06:40;Decolagem;Nenhum
AVISTAMENTO;;SBGL;27/02/2020;15:50;Pouso;Nenhum
AVISTAMENTO;;SBSP;27/02/2020;17:00;Revisão de pista;Nenhum
QUASE COLISÃO;;SBBV;27/02/2020;14:30;Decolagem;outros
COLISÃO;PTMZL;SBJV;27/02/2020;12:00;Pouso;Nenhum
COLISÃO;PTTMG;SBCT;27/02/2020;12:00;Subida;Nenhum
COLISÃO;PTMZY;SBBR;27/02/2020;17:05;Descida;Nenhum
AVISTAMENTO;;SBES;27/02/2020;09:00;Táxi;Nenhum
AVISTAMENTO;;SBES;27/02/2020;09:00;Táxi;Nenhum
AVISTAMENTO;;SBES;27/02/2020;09:00;Táxi;Nenhum
