Tipo de Reporte;Matricula;Aeródromo;Data;Hora ;Fase do Voo;Efeito no voo
AVISTAMENTO;;SBME;31/01/2020;13:15;Estacionamento;Nenhum
AVISTAMENTO;;SBBH;31/01/2020;11:04;NBA;Não reportada
AVISTAMENTO;;SBME;31/01/2020;11:23;Aproximação;Nenhum
COLISÃO;PRAYE;SBCF;31/01/2020;03:53;Pouso;Nenhum
COLISÃO;PRAYW;SBSV;31/01/2020;20:39;Aproximação;Nenhum
AVISTAMENTO;;SBSP;31/01/2020;15:54;Revisão de pista;Nenhum
COLISÃO;PRAZL;SBCY;31/01/2020;02:01;Pouso;Nenhum
AVISTAMENTO;1022;SBES;31/01/2020;09:00;Aproximação;outros
COLISÃO;5966;SBYS;31/01/2020;14:38;Aproximação;Pouso de precaução
AVISTAMENTO;1022;SBES;31/01/2020;08:00;Decolagem;Nenhum
AVISTAMENTO;7063;SBES;31/01/2020;09:00;NBA;Nenhum
AVISTAMENTO;;SBKP;31/01/2020;06:52;Revisão de pista;Nenhum
AVISTAMENTO;5054;SBES;31/01/2020;13:30;Aproximação;Nenhum
COLISÃO;PRMYW;SBFI;31/01/2020;18:15;Pouso;Nenhum
QUASE COLISÃO;PTMXD;SBEG;31/01/2020;12:40;Subida;outros
AVISTAMENTO;PRAXK;SBPS;30/01/2020;15:43;Pouso;Nenhum
AVISTAMENTO;PRAQK;SBTD;30/01/2020;18:10;Pouso;Não reportada
COLISÃO;5523;SBSM;30/01/2020;21:05;Decolagem;Nenhum
AVISTAMENTO;;SBME;30/01/2020;10:15;Estacionamento;Nenhum
AVISTAMENTO;;SBME;30/01/2020;11:00;Revisão de pista;Nenhum
AVISTAMENTO;6750;SBSL;30/01/2020;09:00;Decolagem;Nenhum
QUASE COLISÃO;8957;SBPV;30/01/2020;13:20;Aproximação;Desestabilização na aproximação
AVISTAMENTO;9114;SBIL;30/01/2020;13:04;Pouso;Nenhum
COLISÃO;PRGTV;SBSL;30/01/2020;08:07;Inspeção de trânsito/intervoo;Nenhum
AVISTAMENTO;1008;SBES;30/01/2020;09:00;Decolagem;Nenhum
AVISTAMENTO;PRAQK;SBTD;30/01/2020;15:08;Decolagem;Nenhum
AVISTAMENTO;;SBPS;30/01/2020;17:00;Revisão de pista;outros
AVISTAMENTO;N1022;SBES;30/01/2020;08:30;Decolagem;Nenhum
AVISTAMENTO;8957;SBPV;30/01/2020;15:00;Aproximação;Nenhum
COLISÃO;PRGTV;SBBR;30/01/2020;12:00;Pouso;Nenhum
AVISTAMENTO;;SBYS;30/01/2020;09:00;Táxi;Nenhum
AVISTAMENTO;;SBKP;30/01/2020;14:31;Revisão de pista;Nenhum
AVISTAMENTO;4001;SBES;30/01/2020;12:00;Aproximação;Nenhum
COLISÃO;PRAKD;SBNM;30/01/2020;02:54;Aproximação;Nenhum
AVISTAMENTO;PRBGJ;SBME;30/01/2020;09:08;Pouso;Nenhum
AVISTAMENTO;PPIQS;SBNV;30/01/2020;07:00;Táxi;Nenhum
AVISTAMENTO;PRHNE;SBNV;30/01/2020;08:49;Táxi;Nenhum
COLISÃO;;SBVT;30/01/2020;16:50;Revisão de pista;Não reportada
QUASE COLISÃO;5041;SBES;30/01/2020;11:40;Aproximação;outros
AVISTAMENTO;226;SBPV;30/01/2020;11:45;Táxi;Nenhum
AVISTAMENTO;4848;SBAN;30/01/2020;11:30;Descida;Nenhum
AVISTAMENTO;;SBNV;30/01/2020;13:00;Revisão de pista;Nenhum
QUASE COLISÃO;4830;SBSC;30/01/2020;16:00;Aproximação;Desestabilização na aproximação
AVISTAMENTO;7084;SBES;30/01/2020;15:00;Subida;Nenhum
AVISTAMENTO;PRYSC;SBKP;30/01/2020;00:26;Táxi;Nenhum
AVISTAMENTO;5054;SBES;30/01/2020;14:30;Aproximação;Nenhum
AVISTAMENTO;MAR;SBES;30/01/2020;09:00;Decolagem;Nenhum
AVISTAMENTO;;SBES;30/01/2020;09:00;Decolagem;Nenhum
AVISTAMENTO;;SBKP;29/01/2020;00:07;Revisão de pista;Nenhum
QUASE COLISÃO;6750;SBSL;29/01/2020;15:30;Aproximação;Nenhum
COLISÃO;;SBBR;29/01/2020;14:40;Revisão de pista;Não reportada
AVISTAMENTO;6750;SBSL;29/01/2020;10:00;Decolagem;Nenhum
AVISTAMENTO;1444;SBYS;29/01/2020;15:45;Aproximação;Nenhum
AVISTAMENTO;1444;SBYS;29/01/2020;12:50;Decolagem;Nenhum
AVISTAMENTO;1008;SBES;29/01/2020;11:00;Aproximação;Nenhum
AVISTAMENTO;1444;SBYS;29/01/2020;15:35;Aproximação;Nenhum
AVISTAMENTO;1022;SBES;29/01/2020;11:00;Aproximação;Nenhum
AVISTAMENTO;1022;SBES;29/01/2020;14:30;Aproximação;Nenhum
AVISTAMENTO;1008;SBES;29/01/2020;14:30;Aproximação;Nenhum
AVISTAMENTO;1008;SBES;29/01/2020;16:30;Aproximação;Nenhum
COLISÃO;PRGTP;SBFN;29/01/2020;14:00;Pouso;Nenhum
COLISÃO;PPMSA;SBJR;29/01/2020;10:14;NBA;Nenhum
QUASE COLISÃO;5710;SBYS;29/01/2020;15:10;Aproximação;Desestabilização na aproximação
AVISTAMENTO;2853;SBAN;29/01/2020;16:00;Aproximação;Nenhum
AVISTAMENTO;1022;SBES;29/01/2020;16:30;Aproximação;Nenhum
COLISÃO;PRAXB;SBSN;29/01/2020;03:10;Táxi;Nenhum
COLISÃO;PRYRF;SBPL;29/01/2020;03:43;Decolagem;Nenhum
AVISTAMENTO;AZU2949;SBSL;29/01/2020;06:14;Táxi;Nenhum
QUASE COLISÃO;PTGAD;SBFZ;29/01/2020;07:43;Decolagem;Nenhum
COLISÃO;;SBMQ;29/01/2020;13:10;Revisão de pista;Nenhum
QUASE COLISÃO;5041;SBES;29/01/2020;08:50;Aproximação;outros
QUASE COLISÃO;6000;SBAN;29/01/2020;10:05;Decolagem;Nenhum
AVISTAMENTO;;SBSC;29/01/2020;15:39;Revisão de pista;Nenhum
AVISTAMENTO;7087;SBES;29/01/2020;15:30;NBA;Nenhum
QUASE COLISÃO;;SBPV;29/01/2020;09:00;Aproximação;Desestabilização na aproximação
COLISÃO;PRMYC;SBBR;29/01/2020;18:40;Pouso;Nenhum
AVISTAMENTO;;SBSP;28/01/2020;16:07;Revisão de pista;Nenhum
AVISTAMENTO;PROHN;SBFS;28/01/2020;09:20;Aproximação;Nenhum
AVISTAMENTO;PROHC;SBFS;28/01/2020;08:30;Pouso;Nenhum
COLISÃO;;SBBR;28/01/2020;12:20;Revisão de pista;Não reportada
