Tipo de Reporte;Matricula;Aeródromo;Data;Hora ;Fase do Voo;Efeito no voo
COLISÃO;;SBAR;30/03/2020;05:30;Decolagem;Não reportada
AVISTAMENTO;;SBME;29/03/2020;08:18;Pouso;Nenhum
AVISTAMENTO;;SBBE;29/03/2020;17:40;Revisão de pista;Nenhum
AVISTAMENTO;FAB2345;SBSC;29/03/2020;19:20;Pouso;Nenhum
AVISTAMENTO;;SBSP;29/03/2020;09:39;Revisão de pista;Nenhum
COLISÃO;PRVBU;SBPA;29/03/2020;16:30;Aproximação;Nenhum
COLISÃO;TAM3364;SBBE;28/03/2020;05:25;Decolagem;Nenhum
AVISTAMENTO;;SBSP;28/03/2020;09:29;Revisão de pista;Nenhum
AVISTAMENTO;;SBSP;28/03/2020;16:15;Revisão de pista;Nenhum
COLISÃO;PTTMB;SBRJ;28/03/2020;14:05;Subida;Nenhum
AVISTAMENTO;;SBNV;27/03/2020;08:14;Inspeção de trânsito/intervoo;Nenhum
AVISTAMENTO;;SBJD;27/03/2020;08:37;NBA;Nenhum
AVISTAMENTO;PTEPP;SBSL;27/03/2020;09:40;Pouso;Nenhum
AVISTAMENTO;2300;SBBE;27/03/2020;10:30;Aproximação;Nenhum
COLISÃO;PTTME;SBBR;27/03/2020;08:18;Inspeção de trânsito/intervoo;Nenhum
QUASE COLISÃO;PTYKK;SBJD;27/03/2020;13:55;Aproximação;Desestabilização na aproximação
AVISTAMENTO;;SBSP;27/03/2020;10:37;Revisão de pista;Nenhum
COLISÃO;5921;SBBV;27/03/2020;16:15;NBA;Pouso de precaução,outros
COLISÃO;4864;SBCO;27/03/2020;15:45;Táxi;Nenhum
AVISTAMENTO;;SBSP;27/03/2020;15:59;Revisão de pista;Nenhum
AVISTAMENTO;4848;SBAN;27/03/2020;14:40;Aproximação;Nenhum
AVISTAMENTO;PRPVJ;SBCY;27/03/2020;05:45;Decolagem;Nenhum
AVISTAMENTO;1008;SBES;27/03/2020;12:40;Aproximação;Nenhum
AVISTAMENTO;1008;SBES;27/03/2020;17:00;Aproximação;Nenhum
AVISTAMENTO;1008;SBES;27/03/2020;17:00;Aproximação;Nenhum
AVISTAMENTO;1008;SBES;27/03/2020;12:40;Aproximação;Nenhum
AVISTAMENTO;;SBJD;26/03/2020;09:04;Decolagem;Nenhum
AVISTAMENTO;;SBJD;26/03/2020;11:40;NBA;Nenhum
AVISTAMENTO;;SBCG;26/03/2020;08:15;Revisão de pista;Nenhum
AVISTAMENTO;FAB1914;SBLS;26/03/2020;14:29;Decolagem;Nenhum
AVISTAMENTO;;SBNV;26/03/2020;10:04;Inspeção de trânsito/intervoo;Nenhum
QUASE COLISÃO;1359;SBYS;26/03/2020;10:20;Aproximação;Desestabilização na aproximação
AVISTAMENTO;;SBJE;26/03/2020;09:25;Revisão de pista;Nenhum
AVISTAMENTO;;SBPV;26/03/2020;10:00;Aproximação;Nenhum
QUASE COLISÃO;7089;SWRN;26/03/2020;15:00;Decolagem;outros
QUASE COLISÃO;7089;SWRN;26/03/2020;14:00;Cruzeiro;outros
QUASE COLISÃO;7089;SWRN;26/03/2020;14:20;Cruzeiro;Nenhum
QUASE COLISÃO;;SBPV;26/03/2020;10:00;Aproximação;Desestabilização na aproximação
QUASE COLISÃO;;SBPV;26/03/2020;10:10;Aproximação;Desestabilização na aproximação
QUASE COLISÃO;PTZME;SBSN;25/03/2020;09:42;Decolagem;outros
AVISTAMENTO;GLO1602;SBGR;25/03/2020;09:50;Decolagem;Nenhum
COLISÃO;PRGGX;SBSV;25/03/2020;12:00;Pouso;Não reportada
AVISTAMENTO;;SBNV;25/03/2020;09:20;Inspeção de trânsito/intervoo;Nenhum
COLISÃO;;SBSV;25/03/2020;07:48;Revisão de pista;Não reportada
COLISÃO;PRABB;SBGR;25/03/2020;07:30;Pouso;Nenhum
AVISTAMENTO;4001;SBES;25/03/2020;13:30;Cruzeiro;Nenhum
QUASE COLISÃO;;SBPV;25/03/2020;17:05;Cruzeiro;Nenhum
QUASE COLISÃO;;SBPV;25/03/2020;16:25;Decolagem;Nenhum
AVISTAMENTO;5704;SBPV;25/03/2020;10:10;Aproximação;Nenhum
QUASE COLISÃO;5704;SBPV;25/03/2020;09:40;NBA;Nenhum
AVISTAMENTO;;SBPJ;24/03/2020;04:50;Pouso;Nenhum
COLISÃO;5938;SBBV;24/03/2020;11:00;Cruzeiro;Nenhum
AVISTAMENTO;PRIZQ;SBBH;24/03/2020;15:02;Aproximação;Nenhum
COLISÃO;PRTDV;SBUG;24/03/2020;16:33;Decolagem;Nenhum
AVISTAMENTO;mar/01;SBES;24/03/2020;11:30;Cruzeiro;Nenhum
COLISÃO;PRVBK;SBGL;24/03/2020;00:58;Pouso;Não reportada
COLISÃO;3034;SBES;24/03/2020;20:30;Inspeção de trânsito/intervoo;Nenhum
AVISTAMENTO;;SBSP;24/03/2020;16:18;Revisão de pista;Nenhum
COLISÃO;;SBSV;24/03/2020;13:51;Revisão de pista;Não reportada
QUASE COLISÃO;FAB4834;SBAN;24/03/2020;16:00;Pouso;Desestabilização na aproximação
AVISTAMENTO;;SBBV;24/03/2020;12:00;Aproximação;Nenhum
AVISTAMENTO;;SBCG;24/03/2020;06:20;Revisão de pista;Não reportada
QUASE COLISÃO;4001;SBES;24/03/2020;09:00;Cruzeiro;outros
AVISTAMENTO;FAB5732;SBPV;24/03/2020;10:00;Aproximação;Nenhum
COLISÃO;PRTTW;SBPA;24/03/2020;05:45;Inspeção de trânsito/intervoo;Nenhum
AVISTAMENTO;2520;SBGL;24/03/2020;18:00;Aproximação;outros
AVISTAMENTO;PTXPJ;SBGL;23/03/2020;06:58;Decolagem;Nenhum
AVISTAMENTO;;SBBH;23/03/2020;09:40;Revisão de pista;Nenhum
QUASE COLISÃO;PRCGJ;SBME;23/03/2020;14:23;Aproximação;Desestabilização na aproximação
AVISTAMENTO;AZU2610;SBBE;23/03/2020;15:25;Pouso;outros
AVISTAMENTO;;SBSP;23/03/2020;09:05;Revisão de pista;Nenhum
AVISTAMENTO;;SBSP;23/03/2020;16:22;Revisão de pista;Nenhum
COLISÃO;5934;SBPV;23/03/2020;21:16;Decolagem;Decolagem abortada
COLISÃO;PRGXB;SBRJ;23/03/2020;12:47;Pouso;Nenhum
COLISÃO;PRGZS;SBKP;23/03/2020;09:45;Decolagem;Nenhum
QUASE COLISÃO;FAB2854;SBGL;23/03/2020;16:55;Pouso;outros
AVISTAMENTO;;SBBV;23/03/2020;14:50;Aproximação;Nenhum
COLISÃO;;SBCY;23/03/2020;16:40;Revisão de pista;Não reportada
QUASE COLISÃO;FAB3702;SBGL;23/03/2020;10:00;Pouso;Desestabilização na aproximação
QUASE COLISÃO;FAB3702;SBLS;23/03/2020;10:00;Pouso;Nenhum
COLISÃO;PRAQN;SBRF;23/03/2020;16:00;Descida;Nenhum
COLISÃO;PRYRQ;SBCG;23/03/2020;19:43;Pouso;Nenhum
COLISÃO;PRGUK;SBEG;23/03/2020;03:00;Pouso;Nenhum
COLISÃO;PRYRB;SBVT;23/03/2020;20:23;Decolagem;Nenhum
COLISÃO;N536LA;SBKP;23/03/2020;08:03;Subida;Nenhum
AVISTAMENTO;;SBKP;23/03/2020;07:12;Revisão de pista;Nenhum
COLISÃO;PRVBK;SBPL;22/03/2020;01:22;Pouso;Nenhum
AVISTAMENTO;PRSEO;SBME;22/03/2020;13:20;Decolagem;Nenhum
COLISÃO;;SBSV;22/03/2020;21:20;Revisão de pista;Não reportada
AVISTAMENTO;;SBSP;22/03/2020;08:20;Revisão de pista;Nenhum
AVISTAMENTO;;SBSP;22/03/2020;16:29;Revisão de pista;Nenhum
COLISÃO;PRTYH;SBIL;22/03/2020;12:00;Pouso;Nenhum
COLISÃO;TAM3375;SBIL;22/03/2020;15:27;Pouso;Nenhum
AVISTAMENTO;;SBKP;22/03/2020;07:25;Revisão de pista;Nenhum
AVISTAMENTO;;SBRB;21/03/2020;01:37;Decolagem;Nenhum
COLISÃO;;SBPL;21/03/2020;03:50;Revisão de pista;Nenhum
COLISÃO;PRVBW;SBFN;21/03/2020;15:15;Decolagem;Nenhum
AVISTAMENTO;;SBCY;21/03/2020;19:45;Revisão de pista;Nenhum
COLISÃO;PRGGZ;SBSV;21/03/2020;06:19;Decolagem;Nenhum
AVISTAMENTO;;SBSP;21/03/2020;16:40;Revisão de pista;Nenhum
COLISÃO;PRMBR;SBSV;21/03/2020;18:47;Decolagem;Nenhum
AVISTAMENTO;PRMHQ;SBJA;21/03/2020;16:18;Decolagem;Nenhum
COLISÃO;PRYRQ;SBSR;21/03/2020;18:33;Pouso;Nenhum
COLISÃO;PRGUK;SBEG;21/03/2020;22:55;Pouso;Nenhum
COLISÃO;PRYRL;SBKP;21/03/2020;13:25;Aproximação;Nenhum
COLISÃO;;SBPL;20/03/2020;01:38;Aproximação;Nenhum
COLISÃO;PRGUC;SBPL;20/03/2020;01:38;Pouso;Nenhum
AVISTAMENTO;AZU4198;SBSR;20/03/2020;00:56;Pouso;Nenhum
AVISTAMENTO;AZU4228;SBEG;20/03/2020;09:09;Decolagem;Nenhum
COLISÃO;;SBAR;20/03/2020;05:20;Inspeção de trânsito/intervoo;Não reportada
AVISTAMENTO;;SBPL;20/03/2020;08:25;Revisão de pista;Nenhum
AVISTAMENTO;PRLTB;SBNV;20/03/2020;10:04;Táxi;Nenhum
AVISTAMENTO;;SBCG;20/03/2020;14:58;Aproximação;Nenhum
COLISÃO;AZU5294;SBCP;20/03/2020;20:02;Decolagem;Não reportada
COLISÃO;6051;SBVT;20/03/2020;15:00;Aproximação;Pouso de precaução
AVISTAMENTO;PRMLL;SBCB;20/03/2020;11:32;Pouso;Nenhum
COLISÃO;PRXBF;SBSR;20/03/2020;23:00;Pouso;Nenhum
COLISÃO;PRTYI;SBGR;20/03/2020;22:36;Decolagem;Nenhum
AVISTAMENTO;;SBEG;20/03/2020;09:13;Revisão de pista;Nenhum
AVISTAMENTO;;SBEG;20/03/2020;09:49;Revisão de pista;Nenhum
AVISTAMENTO;;SBEG;20/03/2020;10:32;Revisão de pista;Nenhum
AVISTAMENTO;;SBSP;20/03/2020;15:30;Revisão de pista;Nenhum
AVISTAMENTO;PTMEC;SBPV;20/03/2020;13:08;Decolagem;Nenhum
QUASE COLISÃO;PTMEC;SWLB;20/03/2020;14:16;Subida;outros
QUASE COLISÃO;PTMEC;SBPV;20/03/2020;14:55;Aproximação;Desestabilização na aproximação
COLISÃO;PRMYI;SBGR;20/03/2020;13:10;Decolagem;Nenhum
COLISÃO;PTXPO;SBGR;20/03/2020;23:40;Subida;Nenhum
COLISÃO;PRAQR;SBSR;20/03/2020;20:30;Pouso;Nenhum
AVISTAMENTO;;SBBV;20/03/2020;09:40;Aproximação;Nenhum
AVISTAMENTO;AZU2743;SBIL;20/03/2020;09:25;Aproximação;Nenhum
COLISÃO;PRVBX;SBFZ;20/03/2020;18:12;Aproximação;Nenhum
AVISTAMENTO;;SBBV;20/03/2020;11:30;Aproximação;Nenhum
COLISÃO;PRYRZ;SBIZ;20/03/2020;06:04;Decolagem;Nenhum
COLISÃO;;SBBR;20/03/2020;06:26;Revisão de pista;Não reportada
QUASE COLISÃO;4001;SBES;20/03/2020;17:50;Aproximação;outros
COLISÃO;;SBGR;20/03/2020;15:50;Revisão de pista;Nenhum,outros
COLISÃO;PRGZZ;SBGR;20/03/2020;18:47;Decolagem;Não reportada
AVISTAMENTO;GLO4901;SBMO;19/03/2020;06:22;Decolagem;Nenhum
COLISÃO;PRGUQ;SBFZ;19/03/2020;08:22;Decolagem;Nenhum
QUASE COLISÃO;;SBBV;19/03/2020;12:00;Aproximação;Desestabilização na aproximação
AVISTAMENTO;;SBJD;19/03/2020;14:16;NBA;Nenhum
COLISÃO;PRAYW;SBLO;19/03/2020;09:51;Pouso;Não reportada
COLISÃO;PRGXM;SBGR;19/03/2020;14:24;Pouso;Nenhum
AVISTAMENTO;;SBHT;19/03/2020;14:06;Pouso;Nenhum
QUASE COLISÃO;PTMXN;SBGO;19/03/2020;10:55;Aproximação;outros
COLISÃO;;SBCG;19/03/2020;15:28;Revisão de pista;Nenhum
AVISTAMENTO;;SBAN;19/03/2020;10:30;Aproximação;Nenhum
AVISTAMENTO;;SBSP;19/03/2020;15:55;Revisão de pista;Nenhum
COLISÃO;PTXPD;SBPA;19/03/2020;14:30;Aproximação;Nenhum
AVISTAMENTO;;SBCG;19/03/2020;19:00;Revisão de pista;Nenhum
COLISÃO;2811;SBCG;19/03/2020;15:30;Pouso;Nenhum
AVISTAMENTO;;SBCG;19/03/2020;09:36;Revisão de pista;Nenhum
AVISTAMENTO;;SBCG;19/03/2020;10:50;Revisão de pista;Nenhum
COLISÃO;PTTMI;SBVT;19/03/2020;21:20;Subida;Nenhum
COLISÃO;PTXPA;SBEG;19/03/2020;19:36;Decolagem;Nenhum
AVISTAMENTO;;SBKP;19/03/2020;09:17;Revisão de pista;Nenhum
AVISTAMENTO;;SBKP;19/03/2020;11:46;Revisão de pista;Nenhum
QUASE COLISÃO;FAB5934;SBPV;19/03/2020;16:10;Pouso;Desestabilização na aproximação
AVISTAMENTO;N1008;SBES;19/03/2020;11:50;Pouso;Nenhum
AVISTAMENTO;N1008;SBME;19/03/2020;15:00;Aproximação;Nenhum
COLISÃO;PRAQS;SBKP;19/03/2020;21:23;Descida;Nenhum
QUASE COLISÃO;FAB5523;SBSM;19/03/2020;10:30;NBA;outros
AVISTAMENTO;FAB5652;SBSM;19/03/2020;11:00;Aproximação;Nenhum
AVISTAMENTO;;SBGR;19/03/2020;09:48;Revisão de pista;Nenhum
AVISTAMENTO;;SBPS;19/03/2020;08:55;Revisão de pista;outros
AVISTAMENTO;;SBGL;18/03/2020;00:46;Revisão de pista;Nenhum
AVISTAMENTO;;SBMA;18/03/2020;00:30;Pouso;Nenhum
COLISÃO;GLO1614;SBGR;18/03/2020;08:04;Decolagem;Nenhum
COLISÃO;TAM3466;SBGR;18/03/2020;08:31;Decolagem;Nenhum
AVISTAMENTO;PRCGF;SBME;18/03/2020;08:40;Pouso;Nenhum
AVISTAMENTO;PRJFA;SBSJ;18/03/2020;12:55;Pouso;Nenhum
AVISTAMENTO;2318;SBNT;18/03/2020;10:00;Aproximação;Nenhum
QUASE COLISÃO;PRRMI;SBPV;18/03/2020;09:52;Aproximação;Desestabilização na aproximação
COLISÃO;AZU2617;SBIP;18/03/2020;18:25;Pouso;Nenhum
COLISÃO;4867;SBAN;18/03/2020;20:15;Pouso;Nenhum
COLISÃO;PRAXR;SBTT;18/03/2020;09:00;Decolagem;Nenhum
COLISÃO;PRAYX;SBMO;18/03/2020;18:13;Pouso;Nenhum
COLISÃO;PRYRW;SBBR;18/03/2020;18:51;Aproximação;Nenhum
AVISTAMENTO;;SBSP;18/03/2020;10:38;Revisão de pista;Nenhum
AVISTAMENTO;;SBSP;18/03/2020;15:05;Revisão de pista;Nenhum
AVISTAMENTO;;SBTB;18/03/2020;17:40;Estacionamento;Nenhum
QUASE COLISÃO;;SBBV;18/03/2020;15:45;Aproximação;Desestabilização na aproximação
QUASE COLISÃO;;SBBV;18/03/2020;08:50;Aproximação;Nenhum
QUASE COLISÃO;;SBBV;18/03/2020;12:00;Aproximação;Nenhum
AVISTAMENTO;;SBPV;18/03/2020;09:10;Táxi;Nenhum
COLISÃO;PRGGX;SBMO;17/03/2020;13:39;Decolagem;Não reportada
AVISTAMENTO;FAB2723;SBSL;17/03/2020;08:20;Decolagem;Nenhum
AVISTAMENTO;;SBSC;17/03/2020;10:03;Revisão de pista;Nenhum
AVISTAMENTO;GURá88;SBAN;17/03/2020;12:03;Aproximação;outros
COLISÃO;;SBRD;17/03/2020;08:08;Revisão de pista;Não reportada
AVISTAMENTO;;SBYS;17/03/2020;12:00;Inspeção de trânsito/intervoo;Nenhum
AVISTAMENTO;FAB5724;SBYS;17/03/2020;12:00;Subida;Nenhum
COLISÃO;ECNEI;SBGR;17/03/2020;15:09;Decolagem;Nenhum
COLISÃO;PRGXB;SBVT;17/03/2020;08:40;Decolagem;Nenhum
COLISÃO;PRGXI;SBGR;17/03/2020;16:10;Decolagem;Nenhum
COLISÃO;GLO1570;SBJP;17/03/2020;16:57;Pouso;Não reportada
COLISÃO;TAM3366;SBJP;17/03/2020;18:09;Pouso;Nenhum
COLISÃO;1372;SBYS;17/03/2020;17:30;Decolagem;Pouso de precaução
AVISTAMENTO;FAB2723;SBSL;17/03/2020;08:00;Decolagem;Nenhum
COLISÃO;PRGUV;SBRJ;17/03/2020;09:19;Pouso;Não reportada
AVISTAMENTO;;SBSP;17/03/2020;15:49;Revisão de pista;Nenhum
