Tipo de Reporte;Matricula;Aeródromo;Data;Hora ;Fase do Voo;Efeito no voo
COLISÃO;PRAUE;SBSP;31/12/2019;09:00;Pouso;Nenhum
AVISTAMENTO;;SBSP;31/12/2019;09:29;Revisão de pista;Nenhum
COLISÃO;PRVBH;SBRJ;31/12/2019;14:55;Pouso;Nenhum
COLISÃO;PRAQQ;SBSR;31/12/2019;06:15;Decolagem;Nenhum
COLISÃO;PTTMG;SBBR;31/12/2019;06:03;Decolagem;Não reportada
AVISTAMENTO;PTMXM;SBMO;31/12/2019;10:56;Pouso;Nenhum
COLISÃO;PRYRH;SBBE;30/12/2019;10:47;Decolagem;Nenhum
AVISTAMENTO;PROHL;SBME;30/12/2019;11:48;Pouso;Nenhum
COLISÃO;PTMXF;SBSV;30/12/2019;10:40;Pouso;Nenhum
COLISÃO;;SBSV;30/12/2019;13:19;Revisão de pista;Não reportada
AVISTAMENTO;;SBBE;30/12/2019;08:20;Revisão de pista;Nenhum
COLISÃO;;SBBE;30/12/2019;08:35;Decolagem;Nenhum
COLISÃO;;SBBE;30/12/2019;08:25;Revisão de pista;Nenhum
COLISÃO;PRMBW;SBRP;30/12/2019;19:47;Aproximação;Nenhum
AVISTAMENTO;;SBSP;30/12/2019;09:53;Revisão de pista;Nenhum
COLISÃO;PRYRH;SBBE;30/12/2019;07:50;Decolagem;Nenhum
COLISÃO;PRAXF;SBCF;30/12/2019;09:00;Aproximação;Nenhum
COLISÃO;PSAEA;SBKP;30/12/2019;15:43;Decolagem;Nenhum
COLISÃO;;SBCG;30/12/2019;18:35;Pouso;Nenhum
AVISTAMENTO;4867;SBAN;30/12/2019;11:15;Aproximação;Nenhum
COLISÃO;;SBBR;30/12/2019;12:18;Revisão de pista;Nenhum
COLISÃO;PRGGO;SBDN;30/12/2019;14:14;Subida;Nenhum
COLISÃO;PRGZV;SBCG;30/12/2019;22:34;Pouso;Nenhum
COLISÃO;PTMZU;SBJV;30/12/2019;12:00;Decolagem;Nenhum
COLISÃO;;SBCT;30/12/2019;05:29;Revisão de pista;Nenhum
COLISÃO;;SBCT;30/12/2019;05:35;Revisão de pista;Nenhum
COLISÃO;PRYRE;SBMO;29/12/2019;19:06;Decolagem;Nenhum
AVISTAMENTO;;SBSP;29/12/2019;09:59;Revisão de pista;Nenhum
AVISTAMENTO;;SBSP;29/12/2019;16:41;Revisão de pista;Nenhum
AVISTAMENTO;;SBBE;29/12/2019;11:09;Revisão de pista;Nenhum
COLISÃO;PRAYN;SBRP;29/12/2019;07:25;Pouso;Nenhum
COLISÃO;PRAQK;SBSR;29/12/2019;09:00;Pouso;Nenhum
COLISÃO;PRAUJ;SBCB;29/12/2019;18:10;Decolagem;Nenhum
COLISÃO;PRYRE;SBMO;29/12/2019;19:02;Decolagem;Nenhum
COLISÃO;PRGXW;SBCT;29/12/2019;20:10;Inspeção de trânsito/intervoo;Nenhum
AVISTAMENTO;PRAQS;SBMK;29/12/2019;08:40;Decolagem;Nenhum
AVISTAMENTO;PRSEO;SBME;28/12/2019;07:30;Decolagem;Nenhum
COLISÃO;PPADV;SBCJ;28/12/2019;09:43;Pouso;Nenhum
AVISTAMENTO;;SBJD;28/12/2019;12:25;Revisão de pista;Nenhum
COLISÃO;;SBRJ;28/12/2019;13:10;Revisão de pista;Nenhum
AVISTAMENTO;;SBSP;28/12/2019;09:50;Revisão de pista;Nenhum
AVISTAMENTO;;SBBE;28/12/2019;15:00;Revisão de pista;Nenhum
COLISÃO;PRAQK;SBSR;28/12/2019;22:45;Pouso;Não reportada
COLISÃO;PRTYP;SBMG;28/12/2019;12:20;Pouso;Nenhum
COLISÃO;PRAXT;SUMU;28/12/2019;09:00;Decolagem;Nenhum
COLISÃO;PRGXL;SBGR;28/12/2019;12:00;Decolagem;Nenhum
COLISÃO;PRGTF;SBCT;28/12/2019;22:50;Inspeção de trânsito/intervoo;Nenhum
AVISTAMENTO;;SBFL;28/12/2019;23:35;Revisão de pista;Nenhum
AVISTAMENTO;;SBRF;27/12/2019;06:00;Revisão de pista;Nenhum
AVISTAMENTO;;SBPL;27/12/2019;05:08;Revisão de pista;Nenhum
AVISTAMENTO;PTEHX;SBSN;27/12/2019;06:26;Táxi;Nenhum
AVISTAMENTO;PTEXH;SBSN;27/12/2019;06:20;Táxi;Nenhum
QUASE COLISÃO;PRGUU;SBFZ;27/12/2019;08:33;Decolagem;Nenhum
AVISTAMENTO;PRAZA;SBPA;27/12/2019;12:50;Decolagem;Nenhum
COLISÃO;PRGZV;SBMA;27/12/2019;04:10;Decolagem;Nenhum
AVISTAMENTO;PRDOA;PRDOA;27/12/2019;08:30;Táxi;Nenhum
AVISTAMENTO;PRVDL;SBIL;27/12/2019;13:55;Aproximação;Nenhum
COLISÃO;;SBNF;27/12/2019;21:00;Revisão de pista;Nenhum
AVISTAMENTO;;SBSP;27/12/2019;09:29;Revisão de pista;Nenhum
COLISÃO;;SBSP;27/12/2019;21:00;Aproximação;Não reportada
AVISTAMENTO;;SBBE;27/12/2019;08:30;Revisão de pista;Nenhum
COLISÃO;PRXBA;SBSV;27/12/2019;06:31;Decolagem;Nenhum
COLISÃO;PRNEA;SDIM;27/12/2019;19:52;Pouso;Nenhum
COLISÃO;PRGZF;SBMA;27/12/2019;04:10;Decolagem;Nenhum
AVISTAMENTO;FAB7108;SBCO;27/12/2019;11:30;Aproximação;Nenhum
AVISTAMENTO;;SBFL;27/12/2019;12:20;Revisão de pista;Nenhum
COLISÃO;PRAQS;SBRP;26/12/2019;06:15;Decolagem;Nenhum
COLISÃO;PRTYF;SBGR;26/12/2019;07:27;Pouso;Não reportada
COLISÃO;PRAUM;SBGR;26/12/2019;08:07;Pouso;Não reportada
COLISÃO;PRMBR;SBUL;26/12/2019;07:55;Decolagem;Nenhum
COLISÃO;;SBSP;26/12/2019;20:19;Revisão de pista;Nenhum
AVISTAMENTO;PRMBO;SBNF;26/12/2019;08:25;Pouso;Nenhum
AVISTAMENTO;1225;SBPA;26/12/2019;18:35;Decolagem;Nenhum
COLISÃO;PRAKL;SBNF;26/12/2019;19:30;Pouso;Nenhum
COLISÃO;;SBGR;26/12/2019;06:00;Pouso;Nenhum
AVISTAMENTO;;SBSP;26/12/2019;09:24;Revisão de pista;Nenhum
AVISTAMENTO;;SBSP;26/12/2019;16:16;Revisão de pista;Nenhum
COLISÃO;PRGUC;SBJU;26/12/2019;06:19;Aproximação;Nenhum
COLISÃO;;SBMT;26/12/2019;11:55;Revisão de pista;Não reportada
COLISÃO;PTMXA;SBEG;26/12/2019;21:40;Pouso;Nenhum
COLISÃO;PRMYH;SBGO;26/12/2019;22:48;Pouso;Nenhum
COLISÃO;PRMAQ;SBRP;26/12/2019;19:56;Pouso;Nenhum
COLISÃO;;SBCG;26/12/2019;05:22;Revisão de pista;Não reportada
COLISÃO;PRVBO;SBCZ;26/12/2019;12:00;Pouso;Nenhum
COLISÃO;;SBZM;26/12/2019;17:10;Revisão de pista;Nenhum
COLISÃO;PRGXX;SBPA;26/12/2019;19:18;Decolagem;Nenhum
AVISTAMENTO;;SBCG;26/12/2019;11:50;Revisão de pista;Nenhum
COLISÃO;PRGUJ;SBGR;25/12/2019;06:26;Revisão de pista;Nenhum
