Tipo de Reporte;Matricula;Aeródromo;Data;Hora ;Fase do Voo;Efeito no voo
AVISTAMENTO;;SBSP;13/08/2019;09:33;Revisão de pista;Nenhum
AVISTAMENTO;;SBSP;13/08/2019;15:09;Revisão de pista;Nenhum
QUASE COLISÃO;4009;SBES;12/08/2019;15:00;Aproximação;Desestabilização na aproximação
AVISTAMENTO;PRBGT;SBCB;12/08/2019;10:15;Táxi;Nenhum
AVISTAMENTO;PRBGT;SBCB;12/08/2019;10:18;Táxi;Nenhum
AVISTAMENTO;PPSSM;SBFL;12/08/2019;13:28;Decolagem;Nenhum
AVISTAMENTO;;SBSP;12/08/2019;16:44;Revisão de pista;Nenhum
AVISTAMENTO;;SBRF;11/08/2019;06:00;Revisão de pista;Nenhum
AVISTAMENTO;;SBRF;11/08/2019;14:00;Revisão de pista;Nenhum
AVISTAMENTO;;SBMQ;11/08/2019;16:11;Revisão de pista;Nenhum
AVISTAMENTO;;SBSP;11/08/2019;08:47;Revisão de pista;Nenhum
AVISTAMENTO;;SBSP;11/08/2019;16:08;Revisão de pista;Nenhum
AVISTAMENTO;;SBRF;10/08/2019;06:00;Revisão de pista;Nenhum
AVISTAMENTO;PRGEH;SBKG;10/08/2019;02:00;Pouso;Nenhum
AVISTAMENTO;;SBPB;10/08/2019;07:10;Estacionamento;Nenhum
AVISTAMENTO;;SBKP;10/08/2019;19:45;Revisão de pista;Nenhum
AVISTAMENTO;;SBSP;10/08/2019;09:00;Revisão de pista;Nenhum
AVISTAMENTO;;SBMT;10/08/2019;13:05;Revisão de pista;Nenhum
AVISTAMENTO;;SBRF;09/08/2019;06:00;Revisão de pista;Nenhum
AVISTAMENTO;;SBBH;09/08/2019;09:32;NBA;Não reportada
AVISTAMENTO;;SBCB;09/08/2019;08:55;Pouso;Nenhum
AVISTAMENTO;PRAXO;SBFN;09/08/2019;11:18;Pouso;Nenhum
QUASE COLISÃO;;SBBH;09/08/2019;10:32;NBA;outros
COLISÃO;PPOGX;SBSP;09/08/2019;15:03;Aproximação;Pouso de precaução,Desestabilização na aproximação
AVISTAMENTO;;SBRF;08/08/2019;06:00;Revisão de pista;Nenhum
AVISTAMENTO;;SBCR;08/08/2019;22:50;Revisão de pista;Nenhum
AVISTAMENTO;;SBYS;08/08/2019;07:30;Revisão de pista;Nenhum
AVISTAMENTO;;SBCB;07/08/2019;08:48;Pouso;Nenhum
AVISTAMENTO;PRCHE;SBCB;07/08/2019;11:48;Pouso;Nenhum
AVISTAMENTO;;SBSP;06/08/2019;09:56;Revisão de pista;Nenhum
AVISTAMENTO;;SBMT;06/08/2019;12:42;Revisão de pista;Nenhum
AVISTAMENTO;;SBSP;06/08/2019;17:15;Revisão de pista;Nenhum
AVISTAMENTO;;SBSP;05/08/2019;08:33;Revisão de pista;Nenhum
AVISTAMENTO;7101;SBES;05/08/2019;10:00;Aproximação;Nenhum
QUASE COLISÃO;PRSHL;SBVT;05/08/2019;09:35;Aproximação;Nenhum
AVISTAMENTO;;SBSP;05/08/2019;17:00;Revisão de pista;Nenhum
COLISÃO;1418;SBYS;05/08/2019;15:40;Decolagem;Decolagem abortada
AVISTAMENTO;;SBRF;04/08/2019;16:00;Revisão de pista;Nenhum
AVISTAMENTO;;SBSP;04/08/2019;09:30;Revisão de pista;Nenhum
AVISTAMENTO;;SBPB;03/08/2019;07:15;Estacionamento;Nenhum
AVISTAMENTO;4009;SBES;03/08/2019;14:04;Táxi;Nenhum
AVISTAMENTO;;SBSP;03/08/2019;10:28;Revisão de pista;Nenhum
AVISTAMENTO;;SBPB;02/08/2019;14:30;Estacionamento;Nenhum
AVISTAMENTO;;SBCB;02/08/2019;11:06;Revisão de pista;Nenhum
QUASE COLISÃO;PRRSV;9PBT;02/08/2019;07:26;Pouso;Desestabilização na aproximação,outros
