Tipo de Reporte;Matricula;Aeródromo;Data;Hora ;Fase do Voo;Efeito no voo
colisão;PRGON;SBGO;26/07/2019;08:21;Decolagem;Nenhum
avistamento;;SBMQ;26/07/2019;16:30;Revisão de pista;Nenhum
colisão;PRAYY;SBGL;25/07/2019;08:19;Decolagem;Pouso de precaução,Corte apagamento de motor(es)
colisão;PRAZH;SBRJ;24/07/2019;19:31;Decolagem;Pouso de precaução
colisão;5959;SBBV;23/07/2019;21:30;Pouso;Pouso de precaução
avistamento;2317;SBNT;21/07/2019;11:00;Aproximação;Nenhum
colisão;PRMBY;SBGR;20/07/2019;17:43;Decolagem;Pouso de precaução
colisão;PTNEV;SDAM;20/07/2019;16:30;Decolagem;Pouso de precaução
avistamento;PRBUS;SBBH;17/07/2019;13:32;Aproximação;Nenhum
avistamento;;SBPA;17/07/2019;08:50;Revisão de pista;Nenhum
avistamento;PRHIG;SBBH;17/07/2019;14:59;Decolagem;Nenhum
avistamento;;SBBV;17/07/2019;11:20;Decolagem;Nenhum
avistamento;;SBSP;17/07/2019;09:56;Revisão de pista;Nenhum
avistamento;;SBSP;17/07/2019;16:25;Revisão de pista;Nenhum
avistamento;7103;SBES;16/07/2019;06:00;Decolagem;Nenhum
avistamento;;SBCO;16/07/2019;15:39;Táxi;Nenhum
avistamento;PRSHM;SBBH;16/07/2019;13:45;Aproximação;Nenhum
avistamento;;SBMT;16/07/2019;12:28;Revisão de pista;Nenhum
avistamento;;SBSP;16/07/2019;09:29;Revisão de pista;Nenhum
avistamento;PRGXM;SBSP;16/07/2019;12:00;Pouso;Nenhum
avistamento;;SBSP;16/07/2019;17:36;Revisão de pista;Nenhum
avistamento;;SBBV;16/07/2019;13:00;Aproximação;Nenhum
avistamento;;SBBH;15/07/2019;10:10;Aproximação;Nenhum
avistamento;PTOMQ;SBME;15/07/2019;12:05;Aproximação;Nenhum
avistamento;;SBMQ;15/07/2019;07:20;Revisão de pista;Nenhum
avistamento;;SBSP;15/07/2019;09:43;Revisão de pista;Nenhum
avistamento;;SBSP;15/07/2019;17:35;Revisão de pista;Nenhum
quase colisão;3037;SBES;15/07/2019;10:00;Aproximação;Desestabilização na aproximação
quase colisão;3037;SBES;15/07/2019;15:50;Aproximação;Desestabilização na aproximação
avistamento;;SBSP;14/07/2019;16:06;Revisão de pista;Nenhum
