Tipo de Reporte;Matricula;Aeródromo;Data;Hora ;Fase do Voo;Efeito no voo
AVISTAMENTO;FAB1925;SBYS;03/10/2019;08:10;Aproximação;Nenhum
AVISTAMENTO;PRUDS;SBUR;03/10/2019;17:00;Aproximação;Nenhum
AVISTAMENTO;;SBSP;03/10/2019;09:35;Revisão de pista;Nenhum
AVISTAMENTO;;SBUL;03/10/2019;15:30;Inspeção de trânsito/intervoo;Nenhum
AVISTAMENTO;;SBBH;02/10/2019;13:33;Aproximação;Não reportada
AVISTAMENTO;;SBSP;02/10/2019;09:48;Revisão de pista;Nenhum
AVISTAMENTO;;SBLO;02/10/2019;20:22;Revisão de pista;Não reportada
QUASE COLISÃO;FAB2590;SBRJ;02/10/2019;13:20;Pouso;outros
AVISTAMENTO;4837;SBCO;01/10/2019;12:30;Decolagem;Nenhum
AVISTAMENTO;1850;SBYS;01/10/2019;14:00;Descida;Nenhum
AVISTAMENTO;TAM3012;SBCT;01/10/2019;16:55;Decolagem;Nenhum
AVISTAMENTO;1953;SBYS;01/10/2019;15:10;Aproximação;Nenhum
AVISTAMENTO;;SBYS;01/10/2019;13:55;Inspeção de trânsito/intervoo;Nenhum
AVISTAMENTO;;SBSP;01/10/2019;09:52;Revisão de pista;Nenhum
AVISTAMENTO;FAB5919;SBNT;01/10/2019;12:11;NBA;Nenhum
AVISTAMENTO;FAB1967;SBYS;01/10/2019;14:30;Aproximação;Nenhum
AVISTAMENTO;FAB1965;SBYS;01/10/2019;10:15;Decolagem;Nenhum
AVISTAMENTO;FAB4848;SBAN;01/10/2019;13:00;Subida;Nenhum
AVISTAMENTO;FAB2019;SNOX;01/10/2019;13:00;Aproximação;Nenhum
AVISTAMENTO;PRMTQ;SBJR;30/09/2019;08:07;Decolagem;Não reportada
AVISTAMENTO;FAB1836;SBYS;30/09/2019;09:10;Aproximação;Nenhum
AVISTAMENTO;PRADL;SBMO;30/09/2019;14:47;Aproximação;Nenhum
QUASE COLISÃO;PTMEC;SBPV;30/09/2019;10:04;Aproximação;outros
AVISTAMENTO;;SBSP;30/09/2019;09:46;Revisão de pista;Nenhum
AVISTAMENTO;;SBDN;29/09/2019;07:51;Revisão de pista;Nenhum
AVISTAMENTO;6052;SBPA;29/09/2019;07:58;Táxi;Nenhum
QUASE COLISÃO;PRWDA;SDAI;29/09/2019;09:40;Aproximação;Nenhum
QUASE COLISÃO;PUDSL;SBJC;29/09/2019;11:25;Pouso;outros
AVISTAMENTO;;SBSP;29/09/2019;09:42;Revisão de pista;Nenhum
AVISTAMENTO;;SBSP;29/09/2019;15:00;Revisão de pista;Nenhum
